id,facility,type,website,address,city,state,full_add,long,lat
1,Ames Laboratory,Lab,www.ameslab.gov,Ames Laboratory,Ames,Iowa,"Ames Laboratory, Ames, Iowa",-93.648021,42.029874
2,Argonne National Laboratory,Lab,www.anl.gov,9700 S. Cass Avenue,Argonne,Illinois,"9700 S. Cass Avenue, Argonne, Illinois",-87.971398,41.711175
3,Brookhaven National Laboratory,Lab,www.bnl.gov,2 Ctr St,Upton,New York,"2 Ctr St, Upton, New York",-72.8808398,40.869162
4,Fermi National Accelerator Laboratory,Lab,www.fnal.gov,Fermi National Accelerator Laboratory,Batavia,Illinois,"Fermi National Accelerator Laboratory, Batavia, Illinois",-88.255419,41.832671
5,Lawrence Berkeley National Laboratory,Lab,www.lbl.gov/,1 Cyclotron Road,Berkeley,California,"1 Cyclotron Road, Berkeley, California",-122.2536109,37.8750034
6,Oak Ridge National Laboratory,Lab,www.ornl.gov,1 Bethel Valley Road,Oak Ridge,Tennessee,"1 Bethel Valley Road, Oak Ridge, Tennessee",-84.3324881,35.9197708
7,Pacific Northwest National Laboratory,Lab,www.pnl.com,902 Battelle Boulevard,Richland,Washington,"902 Battelle Boulevard, Richland, Washington",-119.2882831,46.3437578
8,Princeton Plasma Physics Laboratory,Lab,www.pppl.gov,100 Stellarator Road,Princeton,New Jersey,"100 Stellarator Road, Princeton, New Jersey",-74.6045356,40.3493556
9,SLAC National Accelerator Laboratory,Lab,www.slac.stanford.edu,2575 Sand Hill Road,Menlo Park,California,"2575 Sand Hill Road, Menlo Park, California",-122.191254,37.4272378
10,Thomas Jefferson National Accelerator Facility,Lab,www.jlab.gov,12000 Jefferson Avenue,Newport News,Virginia,"12000 Jefferson Avenue, Newport News, Virginia",-76.518833,37.136854
11,Sandia National Laboratories,Lab,www.sandia.gov,7011 East Avenue,Livermore,California,"7011 East Avenue, Livermore, California",-121.7211155,37.6798239
12,Sandia National Laboratories,Lab,www.sandia.gov,1515 Eubank Blvd SE,Albuquerque,New Mexico,"1515 Eubank Blvd SE, Albuquerque, New Mexico",-106.534688,35.060599
13,Idaho National Laboratory,Lab,www.inlportal.inl.gov,2525 Fremont Avenue,Idaho Falls,Idaho,"2525 Fremont Avenue, Idaho Falls, Idaho",-112.0456941,43.5171912
14,Lawrence Livermore National Laboratory,Lab,www.llnl.gov,7000 East Avenue,Livermore,California,"7000 East Avenue, Livermore, California",-121.7211155,37.6798239
15,National Renewable Energy Laboratory,Lab,www.nrel.gov,1617 Cole Blvd.,Golden,Colorado,"1617 Cole Blvd., Golden, Colorado",-105.151784,39.744418
16,Savannah River National Laboratory,Lab,srnl.doe.gov,Savannah River National Laboratory,Aiken,South Carolina,"Savannah River National Laboratory, Aiken, South Carolina",-81.722859,33.525798
17,National Energy Technology Laboratory,Lab,www.netl.doe.gov,3610 Collins Ferry Road,Morgantown,West Virginia,"3610 Collins Ferry Road, Morgantown, West Virginia",-79.9770211,39.6646947
18,National Energy Technology Laboratory,Lab,www.netl.doe.gov,626 Cochrans Mill Road,Pittsburgh,Pennsylvania,"626 Cochrans Mill Road, Pittsburgh, Pennsylvania",-79.985953,40.326042
19,Los Alamos National Laboratory,Lab,www.lanl.gov,Los Alamos National Laboratory,Los Alamos,New Mexico,"Los Alamos National Laboratory, Los Alamos, New Mexico",-106.334031,35.900731
32,New Brunswick Laboratory,Lab,www.nbl.doe.gov,9800 South Cass Avenue,Argonne,Illinois,"9800 South Cass Avenue, Argonne, Illinois",-88.011501,41.677143
33,Radiological and Environmental Sciences Laboratory,Lab,http://www.inl.gov/resl/,,Idaho Falls,Idaho,", Idaho Falls, Idaho",-112.044349,43.4930789
41,National Energy Technology Laboratory,Lab,www.netl.doe.gov,1450 Queen Avenue SW,Albany,Oregon,"1450 Queen Avenue SW, Albany, Oregon",-123.1201199,44.62342861
