id,facility,type,website,address,city,state,longitude,latitude,employ,year,txt,short_txt
1,Ames Laboratory,Lab,www.ameslab.gov,Ames Laboratory,Ames,Iowa,-93.648021,42.029874,14321,2007,"Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem,","posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus"
2,Argonne National Laboratory,Lab,www.anl.gov,9700 S. Cass Avenue,Argonne,Illinois,-87.971398,41.711175,11238,2000,"eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus.","ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus"
3,Brookhaven National Laboratory,Lab,www.bnl.gov,2 Ctr St,Upton,New York,-72.8808398,40.869162,14317,1967,"Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia orci,","sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue"
4,Fermi National Accelerator Laboratory,Lab,www.fnal.gov,Fermi National Accelerator Laboratory,Batavia,Illinois,-88.255419,41.832671,18305,1956,"volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque","non, egestas a, dui. Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna."
5,Lawrence Berkeley National Laboratory,Lab,www.lbl.gov/,1 Cyclotron Road,Berkeley,California,-122.2536109,37.8750034,4931,1950,"adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus. Quisque libero lacus, varius et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur","Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu"
6,Oak Ridge National Laboratory,Lab,www.ornl.gov,1 Bethel Valley Road,Oak Ridge,Tennessee,-84.3324881,35.9197708,9620,1916,"eu tellus eu augue porttitor interdum. Sed auctor odio a purus. Duis elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis.","neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis,"
7,Pacific Northwest National Laboratory,Lab,www.pnl.com,902 Battelle Boulevard,Richland,Washington,-119.2882831,46.3437578,10235,1927,"libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus mauris a nunc. In at pede. Cras vulputate velit eu sem.","imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac"
8,Princeton Plasma Physics Laboratory,Lab,www.pppl.gov,100 Stellarator Road,Princeton,New Jersey,-74.6045356,40.3493556,7845,1957,"amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat semper rutrum. Fusce dolor quam, elementum at,","risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi neque tellus,"
9,SLAC National Accelerator Laboratory,Lab,www.slac.stanford.edu,2575 Sand Hill Road,Menlo Park,California,-122.191254,37.4272378,17288,1957,"justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id","pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris"
10,Thomas Jefferson National Accelerator Facility,Lab,www.jlab.gov,12000 Jefferson Avenue,Newport News,Virginia,-76.518833,37.136854,6824,1903,"id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat semper rutrum. Fusce dolor quam, elementum at, egestas a,","Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem"
